id,gene_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
GME-00001,GEN-0001,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00002,GEN-0001,MEC-0004,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00003,GEN-0002,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00004,GEN-0003,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00005,GEN-0003,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00006,GEN-0004,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00007,GEN-0004,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00008,GEN-0004,MEC-0012,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00009,GEN-0005,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00010,GEN-0005,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00011,GEN-0006,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00012,GEN-0006,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00013,GEN-0007,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00014,GEN-0007,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00015,GEN-0008,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00016,GEN-0008,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00017,GEN-0009,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00018,GEN-0973,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00019,GEN-0974,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00020,GEN-0743,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00021,GEN-0728,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00022,GEN-0729,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:29:21+00:00
GME-00023,GEN-0832,MEC-0009,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00024,GEN-0679,MEC-0009,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00025,GEN-0832,MEC-0015,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00026,GEN-1000,MEC-0006,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00027,GEN-1001,MEC-0006,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00028,GEN-0744,MEC-0006,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00029,GEN-0463,MEC-0007,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00030,GEN-0462,MEC-0007,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00031,GEN-0418,MEC-0007,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00032,GEN-0415,MEC-0007,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00033,GEN-0417,MEC-0007,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00034,GEN-0463,MEC-0020,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00035,GEN-0461,MEC-0020,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00036,GEN-0136,MEC-0020,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00037,GEN-0752,MEC-0028,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
GME-00038,GEN-1309,MEC-0010,participates_in,supporting,,,0.0,,active,2026-04-28T03:27:01+00:00,2026-04-28T03:27:01+00:00
