id,from_id,from_type,to_id,to_type,edge_table,relation_type,polarity,rationale,supporting_pmids,status,created_at
CAND-0001,HYP-0025,hypothesis,MEC-0002,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"Maternal viral infection drives sustained fetal neuroinflammation via maternal cytokine surge (IL-6, IL-17a). MIA model is the most studied prenatal autism risk pathway.",19533774;17314324;26773308,proposed,2026-04-28T02:00:15+00:00
CAND-0002,HYP-0025,hypothesis,MEC-0005,mechanism,hypothesis_mechanism_edges,acts_through,supporting,MIA produces persistent microglial priming in offspring; replicated in poly(I:C) and LPS rodent models.,17314324;27121379,proposed,2026-04-28T02:00:15+00:00
CAND-0003,HYP-0025,hypothesis,MEC-0017,mechanism,hypothesis_mechanism_edges,acts_through,supporting,Maternal mast-cell / histaminergic activation contributes to BBB permeability changes downstream of MIA.,27121379,proposed,2026-04-28T02:00:15+00:00
CAND-0004,HYP-0025,hypothesis,PHE-0003,phenotype,intervention_phenotype_edges,manifests_as,supporting,Children exposed to first-trimester maternal infection show elevated regression rates and immune-inflammatory phenotype markers.,19533774,proposed,2026-04-28T02:00:15+00:00
CAND-0005,HYP-0028,hypothesis,MEC-0006,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"SHANK3, NLGN, NRXN, FMR1 — the SFARI Tier-1 synaptic genes — converge on synaptic pruning/maturation pathways.",26402605;30804558,proposed,2026-04-28T02:00:15+00:00
CAND-0006,HYP-0028,hypothesis,MEC-0007,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"Polygenic risk converges on E/I balance via SCN2A, GRIN2B, GABRB3 channelopathies.",30804558,proposed,2026-04-28T02:00:15+00:00
CAND-0007,HYP-0028,hypothesis,MEC-0009,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"TSC1, TSC2, PTEN syndromic mutations confirm mTOR is a major convergence point of monogenic and polygenic ASD risk.",28279400,proposed,2026-04-28T02:00:15+00:00
CAND-0008,HYP-0028,hypothesis,PHE-0005,phenotype,intervention_phenotype_edges,manifests_as,supporting,"Polygenic risk enriched in mTOR-pathway syndromic phenotype (TSC, PTEN macrocephaly).",28279400,proposed,2026-04-28T02:00:15+00:00
CAND-0009,HYP-0028,hypothesis,PHE-0006,phenotype,intervention_phenotype_edges,manifests_as,supporting,FMR1 is the canonical polygenic-→-syndromic bridge.,19015572,proposed,2026-04-28T02:00:15+00:00
CAND-0010,INT-0036,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Rapamycin (mTOR inhibitor) → FOXO disinhibition. Rapamycin's neuroprotective profile in autism syndromic models partially operates through FOXO-driven autophagy.,23446215,proposed,2026-04-28T02:00:15+00:00
CAND-0011,INT-0028,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Resveratrol activates SIRT1 → SIRT1 deacetylates FOXO3a → activates FOXO antioxidant + autophagy program.,18332217,proposed,2026-04-28T02:00:15+00:00
CAND-0012,INT-0093,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Alpha-lipoic acid restores insulin sensitivity → modulates AKT-FOXO axis under conditions of insulin resistance.,20191641,proposed,2026-04-28T02:00:15+00:00
CAND-0013,INT-0047,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Aerobic exercise activates AMPK → AMPK directly phosphorylates FOXO3 → promotes mitochondrial biogenesis and autophagy.,17712357,proposed,2026-04-28T02:00:15+00:00
CAND-0014,INT-0021,intervention,MEC-0028,mechanism,intervention_mechanism_edges,modulates,supporting,Lithium inhibits GSK-3β → stabilizes β-catenin → upregulates BDNF expression. Well-characterized neurotrophic mechanism.,18046408,proposed,2026-04-28T02:00:15+00:00
CAND-0015,INT-0021,intervention,MEC-0009,mechanism,intervention_mechanism_edges,modulates,supporting,GSK-3β cross-talks with mTOR (TSC2 phosphorylation); lithium thus indirectly modulates mTOR pathway activity.,18046408,proposed,2026-04-28T02:00:15+00:00
CAND-0016,INT-0022,intervention,MEC-0015,mechanism,intervention_mechanism_edges,modulates,supporting,"Myo-inositol is the precursor for phosphoinositides (PIP2, PIP3) that underlie PI3K/AKT signaling.",,proposed,2026-04-28T02:00:15+00:00
CAND-0017,INT-0022,intervention,HYP-0055,hypothesis,intervention_hypothesis_edges,cause_mitigation,supporting,Inositol depletion has been linked to serotonergic/repetitive-behavior circuits via PI cycle exhaustion (lithium hypothesis).,8602510,proposed,2026-04-28T02:00:15+00:00
CAND-0018,INT-0024,intervention,MEC-0020,mechanism,intervention_mechanism_edges,modulates,supporting,Glycine is an obligate co-agonist at the NMDA receptor glycine site; directly modulates calcium/glutamate-NMDA homeostasis.,20800012,proposed,2026-04-28T02:00:15+00:00
CAND-0019,INT-0024,intervention,MEC-0001,mechanism,intervention_mechanism_edges,modulates,supporting,Glycine is one of three amino acid precursors of glutathione (γ-Glu-Cys-Gly); supplies oxidative-stress defense substrate.,,proposed,2026-04-28T02:00:15+00:00
CAND-0020,INT-0041,intervention,MEC-0008,mechanism,intervention_mechanism_edges,modulates,unknown,Removes gliadin/casomorphin opioid peptides; modulates gut-brain axis. RCT evidence for whole-population is null/mixed; effect concentrated in GI/microbiome-phenotype subset.,19878495,proposed,2026-04-28T02:00:15+00:00
CAND-0021,INT-0041,intervention,MEC-0022,mechanism,intervention_mechanism_edges,modulates,supporting,Reduces intestinal permeability / LPS translocation in zonulin-elevated subset.,19878495,proposed,2026-04-28T02:00:15+00:00
CAND-0022,INT-0041,intervention,PHE-0004,phenotype,intervention_phenotype_edges,treats,supporting,Responder phenotype is the GI/microbiome subgroup specifically.,19878495,proposed,2026-04-28T02:00:15+00:00
CAND-0023,INT-0049,intervention,MEC-0029,mechanism,intervention_mechanism_edges,modulates,supporting,UVB-driven cutaneous vitamin D synthesis is the principal natural source; vitamin D regulates TPH2 / brain serotonin synthesis.,24558199,proposed,2026-04-28T02:00:15+00:00
CAND-0024,INT-0049,intervention,MEC-0016,mechanism,intervention_mechanism_edges,modulates,supporting,Morning sunlight entrains the suprachiasmatic nucleus and normalizes the HPA cortisol awakening response.,,proposed,2026-04-28T02:00:15+00:00
